ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,JobTitle,StartDate,EndDate,IsUntilFurtherNotice,PayerName,PayerIsPrivateIndividual,IsPaidAsDirectorOfPayer,PayerNatureOfBusiness,PayerPublicAddress,HasSoughtAcobaAdvice,Link,Updated_2,Updated_3,Updated_4,Updated_5,Updated_6,Updated_7,source_file,PaymentReceived,ReceivedDate,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails,RegularityOfPayment,PeriodForHoursWorked,DonationSource,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails,Appg,VisitLocations_Country_1,VisitLocations_Destination_1,Purpose,Donors_Name_1,Donors_IsPrivateIndividual_1,Donors_PublicAddress_1,Donors_PaymentType_1,Donors_PaymentDescription_1,Donors_Value_1,Donors_IsSoleBeneficiary_1,Donors_Name_2,Donors_IsPrivateIndividual_2,Donors_PublicAddress_2,Donors_PaymentType_2,Donors_PaymentDescription_2,Donors_Value_2,Donors_IsSoleBeneficiary_2,Donors_Name_3,Donors_IsPrivateIndividual_3,Donors_PublicAddress_3,Donors_PaymentType_3,Donors_PaymentDescription_3,Donors_Value_3,Donors_IsSoleBeneficiary_3,VisitLocations_Country_2,VisitLocations_Destination_2,VisitLocations_Country_3,VisitLocations_Destination_3,Donors_Name_4,Donors_IsPrivateIndividual_4,Donors_PublicAddress_4,Donors_PaymentType_4,Donors_PaymentDescription_4,Donors_Value_4,Donors_IsSoleBeneficiary_4,Donors_Name_5,Donors_IsPrivateIndividual_5,Donors_PublicAddress_5,Donors_PaymentType_5,Donors_PaymentDescription_5,Donors_Value_5,Donors_IsSoleBeneficiary_5,IsSoleOwner,Location,PropertyDescription,PropertyOwnerDetails,RentalIncomeDetails,RentalIncomeStartDate,RentalIncomeEndDate,NumberOfProperties,IsLand,IsAnyRentalIncomePaidToAnotherPerson,Country,LandUse,PropertyType,ShareholdingThreshold,RegistrableDate,OrganisationName,OrganisationDescription,HeldOnBehalfOf,ManagedBy,AroseOn,Description,MiscellaneousInterestType,Year
3655,International visit to Israel between 03 January 2024 and 05 January 2024,,08/01/2024,17/12/2023,,Visits outside the UK,4320,Robert Jenrick,,03/01/2024,05/01/2024,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/3655,,,,,,,PublishedInterest-Category_4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Israel,,Fact finding political delegation.,Conservative Friends of Israel Ltd (CFI Ltd),FALSE,"PO Box 72288, London SW1P 9LB",In kind,"Air travel, accommodation and hospitality",1700,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4276,International visit to Cyprus between 13 February 2024 and 16 February 2024,,23/02/2024,17/12/2023,,Visits outside the UK,4610,Bambos Charalambous,,13/02/2024,16/02/2024,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/4276,,,,,,,PublishedInterest-Category_4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APPG for Cyprus,Cyprus,Nicosia,"APPG for Cyprus visit to meet the President, Speaker, Members of the Republic of Cyprus Parliament, NGOs and members from civil society to get an update on the current situation in Cyprus and prospects for peace talks.",House of Representatives of the Republic of Cyprus,FALSE,"1102 Nicosia, Cyprus",In kind,"Hotel accommodation for three nights (£459), transport (£182.75) and meals (£106.25)",748,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,International visit to France between 25 January 2024 and 26 January 2024,,07/02/2024,17/12/2023,,Visits outside the UK,4264,Stephen Doughty,,25/01/2024,26/01/2024,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/3356,,,,,,,PublishedInterest-Category_4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,Paris,"To participate in the Franco-British Colloque, engaging with French and British leaders across politics, industry, media, civil society and government in my role as Shadow Minister for Europe and North America.",Franco-British Colloque Ltd,FALSE,"Station House, Station Approach, East Horsley KT24 6QX",In kind,"Accommodation, transfers and hospitality",581.5,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3442,International visit to United Arab Emirates between 08 December 2023 and 11 December 2023,,05/01/2024,17/12/2023,,Visits outside the UK,4124,Chi Onwurah,,08/12/2023,11/12/2023,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/3442,,,,,,,PublishedInterest-Category_4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Arab Emirates,Dubai,"As part of a Labour Climate and Environment Forum delegation to COP28, to learn about the negotiation process and the role of legislators to achieve the targets set for the global climate and decarbonisation agenda.",Energy & Climate Intelligence Unit,FALSE,"180 Borough High Street, London SE1 1LB",In kind,"Accommodation (£759.65), flight (£660) and subsistence (maximum value £100)",1519.65,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3656,International visit to France between 24 January 2024 and 27 January 2024,,31/01/2024,17/12/2023,,Visits outside the UK,4621,Darren Jones,,24/01/2024,27/01/2024,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/3656,,,,,,,PublishedInterest-Category_4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,Versilles,To take part in the Franco-British Colloque.,Franco-British Colloque Ltd,FALSE,"Station House, Station Approach, East Horsley KT24 6QX",In kind,"Travel, accommodation and dinners during a two night stay",1003,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3660,International visit to Isle of Man between 28 January 2024 and 29 January 2024,,31/01/2024,17/12/2023,,Visits outside the UK,4671,Afzal Khan,,28/01/2024,29/01/2024,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/3660,,,,,,,PublishedInterest-Category_4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isle of Man,,"Meetings with the Pakistani community of the Isle of Man, the Treasury Minister, the Lieutenant governor, and Members of the House of Keys.",Saif Rahman,TRUE,,In kind,"Flights (£210.96), accommodation (£82.45) and subsistence (£30)",323.41,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3394,International visit to Bangladesh between 26 January 2024 and 31 January 2024,,19/02/2024,17/12/2023,,Visits outside the UK,4979,Andrew Western,,26/01/2024,31/01/2024,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/3394,,,,,,,PublishedInterest-Category_4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bangladesh,,"Promoting UK-Bangladesh Trade and Investment, cross cultural relations and to understand the Rohingya Crisis.","Commonwealth Enterprise and Investment Council, Bangladesh",FALSE,"Plot 44, Progoti Shoroni, Main Block-J, Baridhara, Dhaka - 1212, Bangladesh",In kind,"International travel, accommodation and meals (value is approximate)",3200,TRUE,RRM Group,FALSE,"Plot 44, Main Road, Block J, Baridhara, Dhaka - 1212, Bangladesh",In kind,Domestic transport,500,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3634,International visit to United Arab Emirates between 04 December 2023 and 08 December 2023,,08/01/2024,17/12/2023,,Visits outside the UK,4651,Dan Carden,,04/12/2023,08/12/2023,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/3634,,,,,,,PublishedInterest-Category_4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Arab Emirates,Dubai,"As President of the Forum of Young Parliamentarians at the Inter-Parliamentary Union, to attend COP 28 UAE and related meetings","United Arab Emirates, Federal National Council",FALSE,"Abu Dhabi, P.O. Box 836, UAE",In kind,Hotel accommodation and in-country transport,1250,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4273,International visit to Tanzania between 10 February 2024 and 17 February 2024,,27/02/2024,17/12/2023,,Visits outside the UK,4790,Apsana Begum,,10/02/2024,17/02/2024,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/4273,,,,,,,PublishedInterest-Category_4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"APPG on Population, Development and Reproductive Health (PDRH)",Tanzania,Zanzibar,Study tour on Sexual and Reproductive Health and Rights and International Development,"APPG on Population, Development and Reproductive Health (PDRH) (sponsored by the European Parliamentary Forum on Reproductive Rights)",FALSE,"House of Commons, Westminster, London SW1A 0AA.",In kind,"Flights and visa (£1,241.29); accommodation (£475.32); other travel (£283.06); per diem, food and drinks (£287.70); and misc costs (£23.25)",2310.62,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3397,International visit to Somalia between 25 January 2024 and 28 January 2024,,12/02/2024,17/12/2023,,Visits outside the UK,4108,Sir Gavin Williamson,,25/01/2024,28/01/2024,,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/3397,,,,,,,PublishedInterest-Category_4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somalia,Somaliland,"Visit to discuss politics and geopolitics in the Horn of Africa, including meetings with ministers and officials.",Somaliland Foreign Ministry,FALSE,"Hargeisa, Somaliland",In kind,"Flights, accommodation, meals and miscellaneous costs",5150,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
