constituency,Donations and other support (including loans) for activities as an MP_sum,Employment and earnings_sum,Employment and earnings - Ad hoc payments_sum,Employment and earnings - Ongoing paid employment_sum,Gifts and benefits from sources outside the UK_sum,"Gifts, benefits and hospitality from UK sources_sum",Land and property (within or outside the UK)_sum,Miscellaneous_sum,Shareholdings_sum,Visits outside the UK_sum,pct_religion,IMD rank 2019,Income,Employment,"Education, skills and training",Health deprivation and disability,Crime,Barriers to housing and services,Living environment,sum_outside_payment,log_outside,Deprivation_PC1,Deprivation_PC2,share_under30,share_over64,HighQualifications_num,share_non_uk_born,HouseConstMedianPrice,pop_per_household,urbanicity_score
Bedford,4250.0,0.0,0.0,0.0,707.0,400.0,0.0,0.0,0.0,0.0,0.465853082,199,181,175,188,208,206,190,254,1402,7.246368080102461,-0.9980589949860084,-0.3978207887180602,0.2984552529534583,0.160738658447298,28326,0.281095747,290000,1.9521048876204068,0.42201600698904307
Bermondsey and Old Southwark,6250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41181411,177,172,310,448,209,140,32,50,1361,7.216709486709457,-0.12329833164144047,-2.4115287140355655,0.292701650490759,0.0704794282685383,52463,0.45476920099999996,538750,1.8985423226909683,0.46410161513775455
Beverley and Holderness,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.527529496,367,351,298,350,380,440,255,361,2435,7.798112628829788,1.4339315258864433,0.4844566350490755,0.234805252368552,0.273599645409718,24042,0.03881398,222500,1.9794611616515045,0.31159960303503403
Bexhill and Battle,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509376157,289,286,222,311,288,422,133,218,1880,7.53955882930103,0.5721396030553051,-0.6209738987821759,0.2223735042451208,0.323714010560223,22612,0.073177828,350000,1.9491667289440249,0.35028457883308844
Bexleyheath and Crayford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499234769,323,301,305,258,396,299,140,266,1965,7.583756300707112,0.7913428783813979,-0.5652901127749388,0.303093052944783,0.170022416340808,23907,0.192863747,410000,2.0501383800311026,0.46410161513775455
Birkenhead,5000.0,0.0,0.0,0.0,0.0,1048.0,0.0,0.0,0.0,0.0,0.528982966,20,18,4,107,5,146,529,106,915,6.82001636467413,-3.498528032068428,0.47465804257984734,0.2916325589710296,0.185545864265484,23798,0.070368873,170125,1.8708203833879142,0.46402009392149124
Birmingham Edgbaston,10000.0,0.0,0.0,0.0,0.0,476.0,0.0,0.0,0.0,0.0,0.387408508,80,104,125,261,135,143,34,41,843,6.738152494595957,-1.6086682265291061,-2.1811563354910177,0.345821005917159,0.149288091715976,34230,0.288823226,255500,1.902959541329124,0.46410161513775455
Birmingham Erdington,0.0,0.0,913.6,300.0,0.0,600.0,0.0,0.0,0.0,0.0,0.458236459,11,19,11,41,28,100,52,4,255,5.545177444479562,-3.274736074026116,-2.035064988961481,0.331640075749571,0.140266749026715,22968,0.21365696699999998,195000,1.9284583459864357,0.4640218729989243
Birmingham Ladywood,153968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222750469,4,1,29,19,48,91,14,24,226,5.424950017481403,-3.232351552183387,-2.1342242681385666,0.43715725035072,0.0579964290269098,36920,0.435116077,180000,1.8792169070077072,0.46410161513775455
Birmingham Northfield,13818.66,0.0,2772.3,5704.29,0.0,0.0,0.0,0.0,0.0,0.0,0.4677979,22,23,30,76,52,56,67,86,390,5.968707559985366,-3.0771256211925087,-1.7357155078520823,0.3218935349254664,0.168006810211616,23046,0.133338355,220000,1.9408332417280423,0.46410161513775455
Birmingham Perry Barr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255937238,14,9,22,50,111,137,35,8,372,5.921578419643816,-2.8894175422670827,-2.120697943900085,0.377727675991567,0.109587257144252,23071,0.380267797,205000,2.0199918876438674,0.46410161513775455
Birmingham Selly Oak,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388904836,79,105,141,237,80,147,69,28,807,6.694562058521095,-1.8265770318274577,-2.015970209153333,0.400558821923293,0.139468846132843,28762,0.17642649700000002,245000,1.959638394044137,0.46410161513775455
Birmingham Yardley,3000.0,0.0,68986.28,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.29986698,19,27,43,35,77,166,37,2,387,5.961005339623274,-2.8505385573000552,-2.044666779178943,0.3739358677107477,0.124931099348177,20194,0.26816270200000003,220000,2.0074367570862544,0.46410161513775455
Bishop Auckland,32000.0,0.0,2407.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.581151662,109,89,53,164,79,180,418,433,1416,7.256297239690681,-2.2134505283828703,1.3866770610535881,0.2568210182037258,0.24583638163274,19769,0.03099869,130000,1.9142328933820087,0.29161503051743
Blackburn,1950.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.312964264,21,15,15,34,10,110,507,83,774,6.652863029353347,-3.741396841270275,0.31085589389714086,0.36757351646416536,0.132884310618066,21602,0.228576955,140000,1.992526425487569,0.4634035480153582
Blackpool South,37500.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.496102496,2,3,1,18,1,8,516,13,560,6.329720905522696,-4.2207919625577235,-0.07383501916027799,0.2800843069207986,0.189199992732162,19801,0.08804447600000001,125000,1.86502966314731,0.46410161513775455
Bognor Regis and Littlehampton,9500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.511143284,241,262,215,145,171,291,154,401,1639,7.402451520818244,-0.45539023549588814,0.3416523463967377,0.24100431643968062,0.274800922825035,22378,0.120795526,312500,1.9414967425332093,0.4474418088521402
Bolsover,34046.0,0.0,0.0,3323.81,0.0,0.0,0.0,0.0,0.0,0.0,0.483621697,169,165,112,55,99,445,467,404,1747,7.466227556215481,-1.480382495345397,2.0136550460816838,0.2573381584238037,0.208832269263585,18392,0.051914311,170000,1.978593092209497,0.2172509079417083
Bolton North East,21000.0,0.0,0.0,2463.56,0.0,0.0,0.0,0.0,0.0,0.0,0.487034534,68,66,49,126,86,50,480,155,1012,6.920671504248683,-3.054717178904354,0.2994353934020641,0.3134495608891659,0.182315690720037,23856,0.152434424,185500,1.945914718019257,0.46353549783183373
Bolton West,17000.0,0.0,5695.38,0.0,0.0,394.0,0.0,0.0,0.0,0.0,0.551205861,253,247,207,373,175,124,475,231,1832,7.513709247839705,-0.8462207740249352,0.4810686298494748,0.2827298050139271,0.201455330830406,26257,0.099547504,210000,1.991433350301796,0.3312657257223892
Boston and Skegness,0.0,0.0,0.0,11685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.574171615,101,134,100,13,146,362,247,177,1179,7.07326971745971,-1.7822181975769427,-0.04181960170451594,0.2553300533005321,0.245216618832855,17486,0.162506913,196500,1.9895708444162132,0.39449990608402696
Bournemouth East,35070.85,0.0,2423.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471534908,232,215,191,303,196,188,330,179,1602,7.3796321526095525,-0.8549000185195751,-0.24136619486378755,0.27737746753734127,0.182719732792914,30871,0.21247917,312500,1.9237313847402944,0.46390871901555947
Bournemouth West,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42316194,223,221,235,208,195,181,218,242,1500,7.313886831633462,-0.7858941228558451,-0.3534982570423503,0.328591424310898,0.177240666367819,28103,0.19497773499999999,300000,1.9304519711271513,0.46091449954494473
Bracknell,3000.0,0.0,734.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.461549043,465,439,461,273,464,488,134,525,2784,7.932003152361385,2.6591779443447394,0.8147786824857015,0.2967954942707316,0.147475237910273,27852,0.177367968,373000,2.022147585192449,0.3860726181711513
Bradford East,11620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25859287,9,14,38,1,58,4,395,11,521,6.257667587882639,-3.830648426264268,-0.6294773074437047,0.3920974913724442,0.107761481284842,19228,0.254259002,140000,2.0048014640371785,0.46405409371819945
Bradford West,44500.0,0.0,9225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197206543,13,17,36,9,42,6,368,21,499,6.214608098422191,-3.8083181953182277,-0.6963420162442308,0.40059405294251904,0.104816072069719,22918,0.324886777,137750,1.977267058613932,0.4528138690114558
Braintree,297500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473025141,390,387,377,239,392,374,182,381,2332,7.75491027202143,1.462767789065438,0.30670373922169003,0.2717859242542054,0.210036222951317,21963,0.074642337,330000,2.027200704225352,0.335839714605527
Brentford and Isleworth,0.0,0.0,0.0,0.0,0.0,418.0,0.0,0.0,0.0,0.0,0.386838916,258,252,353,484,350,113,26,95,1673,7.422971251049421,0.7486915585595976,-2.3537275913626505,0.30150621526649,0.120744903171875,45984,0.49278639199999996,495000,2.0427659664398323,0.46410161513775455
