constituency,Donations and other support (including loans) for activities as an MP_sum,Employment and earnings_sum,Employment and earnings - Ad hoc payments_sum,Employment and earnings - Ongoing paid employment_sum,Gifts and benefits from sources outside the UK_sum,"Gifts, benefits and hospitality from UK sources_sum",Land and property (within or outside the UK)_sum,Miscellaneous_sum,Shareholdings_sum,Visits outside the UK_sum,pct_religion,IMD rank 2019,Income,Employment,"Education, skills and training",Health deprivation and disability,Crime,Barriers to housing and services,Living environment,sum_outside_payment,log_outside,Deprivation_PC1,Deprivation_PC2,share_under30,share_over64,HighQualifications_num,share_non_uk_born,HouseConstMedianPrice,pop_per_household,urbanicity_score
Colchester,20000.0,0.0,631.38,7180.75,0.0,0.0,0.0,0.0,0.0,0.0,0.417677673,283,273,309,277,249,225,108,430,1871,7.534762657037537,0.36591955439777746,-0.048262310433052305,0.3225280538356133,0.141873493244532,30397,0.184762954,290000,1.980767358686221,0.4635894784988935
Colne Valley,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444531611,340,365,336,431,318,212,399,92,2153,7.675081857716334,0.625188429667109,-0.41410166897870737,0.2679553017979224,0.207872157187968,28274,0.055210234999999996,215000,1.9729713852103885,0.3696643405898073
Congleton,3000.0,0.0,8330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551884903,441,430,364,469,320,424,365,436,2808,7.940583827104244,1.9298916280835394,1.2197042338655042,0.2491611552860693,0.243842178514786,27872,0.042750575,270000,1.9878714859437752,0.30054810690833617
Coventry East,13000.0,0.0,0.0,0.0,0.0,1708.0,0.0,0.0,0.0,0.0,0.444128812,57,34,72,53,98,152,242,104,755,6.628041376179533,-2.783914792520493,-0.7699411771250793,0.3394795269026649,0.135037430153764,23868,0.305736538,203000,1.9787533150779446,0.46410161513775455
Coventry North West,5000.0,0.0,0.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,0.47013263,215,208,221,232,186,243,350,84,1524,7.329749689041512,-0.9936479302575113,-0.4098549884902793,0.3076803111755311,0.166412858007816,25625,0.21521500100000002,220500,1.9641649549691893,0.46322078233418595
Coventry South,34339.66,0.0,0.0,0.0,0.0,316.0,0.0,0.0,0.0,0.0,0.40586403,249,254,331,283,185,325,259,82,1719,7.450079569807499,-0.09239669106271585,-0.7449334577102538,0.404847131980706,0.129445529557141,35198,0.309676331,231750,1.9802963371986009,0.46410161513775455
Crawley,22000.0,0.0,656.25,1354.23,0.0,0.0,0.0,0.0,0.0,0.0,0.426160195,285,288,340,137,276,246,102,396,1785,7.487733761436444,0.23297519203447914,-0.03318098331012794,0.3100603301843371,0.133839292438226,25773,0.26797325299999997,340000,2.0456619198312236,0.4629526951403573
Crewe and Nantwich,10000.0,0.0,0.0,3469.23,0.0,0.0,0.0,0.0,0.0,0.0,0.536550842,267,297,268,169,204,286,411,226,1861,7.529406457837013,-0.5109555337624094,0.6647984161827596,0.2724679792856947,0.187970729011613,26215,0.135786443,193000,1.9643038772722496,0.39443018973892513
Croydon East,0.0,0.0,47219.0,2713.23,0.0,0.0,0.0,0.0,0.0,0.0,0.503500196,211,168,227,259,287,213,40,246,1440,7.273092595999522,-0.28276831949644593,-1.2388043844816798,0.3074980021861127,0.154920133371299,31927,0.286327007,412750,2.024266997914079,0.46410161513775455
Croydon South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.481447758,422,442,451,503,411,330,46,304,2487,7.81923445385907,2.5731097803330156,-0.9752541110183869,0.2823322284623926,0.181339811745728,37377,0.25784056099999997,505000,2.041794807159062,0.46410161513775455
Croydon West,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48106577,99,93,158,287,218,51,12,66,885,6.786716950605081,-1.3994642486085165,-2.4006563902624327,0.3248768671780371,0.0925958821154622,38029,0.454066163,345000,1.965998256320837,0.46410161513775455
Dagenham and Rainham,34321.520000000004,0.0,838.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.497244151,143,136,190,162,264,135,27,187,1101,7.004881989712859,-1.0547509824438093,-1.5443444275666232,0.34450129786122385,0.127613345164741,27195,0.316846364,395000,2.0523750264152714,0.4637036616101655
Darlington,31500.0,0.0,4971.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514535481,137,129,102,116,100,63,521,494,1525,7.330405211844402,-2.3436446134982627,2.0083489670783465,0.2745719785229452,0.203170904670246,22204,0.082372391,145000,1.9107108279107468,0.46410161513775455
Dartford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478459404,282,345,365,263,328,70,150,161,1682,7.428333194190806,0.23926670777596784,-1.2191802169014656,0.3165963659961063,0.130840363400389,27667,0.20616781,356000,2.038551440329218,0.3680053385060758
Daventry,0.0,0.0,0.0,0.0,0.0,515.68,0.0,0.0,0.0,0.0,0.506614033,424,458,448,345,412,329,178,366,2536,7.838737559599282,2.111646147535494,0.0716963715988448,0.2611141524927791,0.214448870179147,29323,0.091552546,315000,2.0417553739440972,0.2419489559687942
Derby North,25000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406867826,205,207,209,142,134,298,333,238,1561,7.3537223303996315,-1.110418705474345,0.40272187985386865,0.315411739905328,0.170339778846706,27550,0.155899636,206000,1.9496867848639652,0.46410161513775455
Derby South,44400.0,0.0,68671.51000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365733475,50,35,74,7,65,190,271,185,827,6.71901315438526,-2.8486953189989603,-0.16372025345405072,0.3452018597183662,0.134955012208582,23361,0.276402668,188000,1.963792873940631,0.46410161513775455
Derbyshire Dales,0.0,0.0,0.0,12825.48,0.0,0.0,0.0,0.0,0.0,0.0,0.542990832,459,477,459,426,409,529,225,203,2728,7.911690520708339,2.668563792740354,-0.23580899121144214,0.2310516421541519,0.265354417781709,29507,0.038901875,290000,1.981164994846268,0.22456907047197394
Doncaster Central,7000.0,0.0,0.0,0.0,0.0,484.0,0.0,0.0,0.0,0.0,0.50742369,93,124,101,36,89,40,407,329,1126,7.027314514039777,-2.7125451772313234,0.87044400026349,0.2777103239543181,0.182793996023157,22332,0.183444429,165000,1.9296877230913578,0.4310092864467549
Doncaster North,354000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49519191,71,102,73,14,83,42,428,418,1160,7.057036981697891,-2.863374594681642,1.3648004668845943,0.2835380835380828,0.201197788697788,16488,0.056237527,160000,1.972556311342293,0.29613889335139404
Dulwich and West Norwood,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428165937,178,151,232,471,266,85,73,34,1312,7.180069874302796,-0.3883762132236755,-2.4462103385594043,0.29118117540156463,0.103086635935976,48889,0.332255489,534500,1.9787458505752353,0.46410161513775455
Ealing Central and Acton,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,0.0,0.0,0.0,0.408552701,220,202,285,485,336,170,23,77,1578,7.364547014255642,0.4764845883473135,-2.390184933593742,0.292901236866208,0.114482727807522,60240,0.494245502,590000,1.9445152210947336,0.46410161513775455
Ealing North,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428582611,197,156,239,390,362,201,13,139,1500,7.313886831633462,0.17510540216516615,-2.0589344230259248,0.3157644713376787,0.130022038953655,39481,0.493654433,485000,2.0624972346356354,0.46410161513775455
Ealing Southall,6225.0,0.0,257.17,852.9,0.0,425.0,0.0,0.0,0.0,0.0,0.302533186,179,161,217,361,306,161,22,107,1335,7.197435354096591,-0.2602092553746079,-2.1291651074521276,0.3136789456970463,0.124610987615115,38327,0.530187769,550000,2.080011616931678,0.46410161513775455
Easington,56454.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.555742772,37,43,7,66,17,33,513,531,1210,7.099201743553092,-3.2923950685219308,2.1498459246330195,0.2752770266687867,0.205630666454588,16201,0.027024952999999997,94999.5,1.924150622876557,0.3013788106741297
East Ham,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268777569,113,117,260,271,312,142,2,73,1177,7.071573364211532,-0.5443911292455934,-2.335147986180276,0.374746061125907,0.0807939445924187,33355,0.555816553,425000,2.1449997313128053,0.46410161513775455
East Hampshire,17500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515860262,493,514,497,495,500,411,169,261,2847,7.954372272531867,3.1848869775370927,-0.5091582268720382,0.2510217204137013,0.250683871530237,30226,0.087121428,442000,2.0284108729743857,0.20887543243295653
East Surrey,44500.0,0.0,2000.0,0.0,0.0,7182.0,0.0,0.0,0.0,0.0,0.507891048,425,467,463,402,426,217,159,311,2445,7.802209316247118,2.0681864618197974,-0.4747613477237394,0.2851442878375275,0.202142622018732,29679,0.114092146,485000,2.022989368355222,0.28152731922799223
East Worthing and Shoreham,29000.0,0.0,1668.51,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.430633488,333,329,300,224,297,386,419,200,2155,7.6760099320288875,0.3093496966033729,0.6165466370164806,0.2629666700030022,0.223461115003503,24349,0.09440928900000001,375000,1.976013918604378,0.43120157721678115
Eastbourne,75041.62,0.0,0.0,0.0,0.0,1425.6,0.0,0.0,0.0,0.0,0.459001239,219,182,142,183,242,271,234,405,1659,7.414572881350589,-0.7381467277293972,0.5250571225895836,0.25875575811515183,0.247694308879478,25210,0.15197769700000002,280000,1.9025871519403639,0.4613814985979423
Eastleigh,7000.0,0.0,0.0,695.71,0.0,0.0,0.0,0.0,0.0,0.0,0.456444131,494,480,478,376,469,375,462,400,3040,8.019941687677365,2.3531723245170313,1.451579091770699,0.2744726338293675,0.202521247353954,25961,0.10618918499999999,326500,2.0331720374755484,0.4220306671496616
Ely and East Cambridgeshire,21500.0,0.0,0.0,650.18,0.0,1552.86,0.0,0.0,0.0,0.0,0.478984346,467,460,480,377,494,470,101,387,2769,7.926602599181384,2.9915084240643095,-0.079983270067433,0.26381748370722247,0.206929892249193,31838,0.127371642,360000,2.0082848156327375,0.281354325005941
Enfield North,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466963431,126,80,163,215,371,194,10,142,1175,7.069874128458572,-0.7331618171325531,-1.9163420958135728,0.350297089000614,0.125029551293164,32869,0.350627365,432000,2.0374848439726874,0.46264170112995445
Epping Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482892031,381,353,398,281,460,134,282,349,2257,7.722234744709607,1.010422146454954,0.14059014042132217,0.2809778903282356,0.187873770332132,28538,0.15985571799999998,500000,2.0142383384570697,0.3371658968960402
Epsom and Ewell,23425.0,0.0,0.0,0.0,0.0,783.9,0.0,0.0,0.0,0.0,0.490218621,515,510,503,496,509,334,305,412,3069,8.029432840581244,3.04378123676955,0.6152456055387321,0.2894943431078268,0.192066497344724,38554,0.200193809,545000,2.0370321733420877,0.4286003498482309
Erewash,16000.0,0.0,798.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408132388,250,214,186,112,228,364,531,244,1879,7.539027055823995,-1.0136363472001084,1.3628788326765084,0.265199106459292,0.199421086302188,19216,0.055887044999999996,200000,1.95909496315073,0.4281823321828229
Erith and Thamesmead,2000.0,0.0,0.0,0.0,0.0,1860.0,0.0,0.0,0.0,0.0,0.50153739,158,106,188,304,273,141,29,245,1286,7.160069207596127,-0.6719463227804667,-1.4844298211424578,0.33886778398510137,0.102532588454376,38366,0.395371366,375000,2.0059131766697567,0.46410161513775455
Esher and Walton,83496.0,0.0,0.0,0.0,0.0,1347.88,0.0,0.0,0.0,0.0,0.505902127,522,502,517,508,529,326,380,427,3189,8.06777619577889,3.0668095546102294,0.9555355549044032,0.2966331547522065,0.175990262696351,41467,0.19826682099999998,620000,2.0342422104930313,0.42043453768128286
Exeter,2000.0,0.0,0.0,0.0,0.0,889.95,0.0,0.0,0.0,0.0,0.384970894,325,344,338,297,261,349,378,172,2139,7.668561108015897,0.4832871469590139,0.20828550922795053,0.38564350291655003,0.155632142209323,30077,0.163572356,275000,1.9268701911144206,0.46410161513775455
Faversham and Mid Kent,2000.0,0.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,0.48938146,273,303,297,194,334,224,103,255,1710,7.444833273892193,0.266735584131822,-0.7517870393621456,0.2818108628205622,0.207133880532537,23181,0.086623651,359000,2.0470816636383997,0.3432920339542245
Feltham and Heston,31338.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371309696,190,164,278,268,294,154,17,143,1318,7.1846291527173145,-0.32300931377889774,-1.895050471911179,0.3264462809917349,0.115820966260848,34121,0.503814255,425000,2.085671751179515,0.46410161513775455
Filton and Bradley Stoke,58732.270000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414141979,498,478,486,391,485,368,336,514,3058,8.025843344150903,2.702258223658209,1.3539790586811162,0.329181559228549,0.139521381787833,32536,0.168503369,345000,2.040713526284702,0.43292206407268335
Finchley and Golders Green,59710.0,0.0,25207.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.308260721,379,321,394,525,515,233,65,151,2204,7.6984827878809465,1.984273873272775,-1.8850189489242537,0.2995212423879126,0.156949924970822,53056,0.449869713,687500,1.9756130020971123,0.46410161513775455
Folkestone and Hythe,8280.0,0.0,25395.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472144786,150,143,107,132,190,239,187,277,1275,7.151485463904735,-1.4124981322777515,-0.20651054312920508,0.2475318497279331,0.254830406308038,20483,0.111232314,290000,1.9233744695380712,0.3388799707804358
Forest of Dean,5000.0,0.0,0.0,730.59,0.0,0.0,0.0,0.0,0.0,0.0,0.508688197,312,313,264,211,376,498,194,182,2038,7.620214770574455,0.8525171061479259,-0.3299596096635548,0.2517787542781864,0.254726249986504,22527,0.051301888000000004,285000,2.006901314779762,0.23899571868707317
Fylde,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.615506855,373,350,252,437,200,444,508,300,2491,7.820840879907344,0.6565571877194971,1.351435790895773,0.22109199548812558,0.285254097777597,28368,0.057149151999999995,225000,1.922207768906432,0.378399967815076
Gainsborough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54713511,257,240,178,264,269,499,189,233,1872,7.5352967024440884,0.26026338896222406,-0.17153897940924356,0.24710536372744368,0.253829389466725,23191,0.049225519999999995,215000,1.980776951233912,0.2384235487526971
Gedling,55689.78,0.0,2543.63,71963.95999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.413688032,365,309,243,279,326,372,477,414,2420,7.791935956938058,0.43860441476883993,1.680181315162913,0.26220719966100636,0.210678281778136,26193,0.081130112,240000,1.9708765315739867,0.45882517740312856
Gillingham and Rainham,35000.0,0.0,1447.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456202596,207,235,214,177,247,94,356,154,1477,7.298445101508147,-1.1935093820941418,-0.23214030212645265,0.3037507626453862,0.181117384441065,20720,0.137245739,300000,2.0220467032967036,0.46202928814563915
Gloucester,25000.0,0.0,1659.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469243126,193,197,184,125,141,290,245,391,1573,7.3613754289773485,-1.000021777027594,0.6821918579410496,0.3073528661553896,0.161936504157668,25215,0.151909879,240000,1.9691822094691533,0.46410161513775455
Gosport,19500.0,0.0,0.0,50000.0,0.0,7582.5,0.0,0.0,0.0,0.0,0.459178162,292,337,303,153,277,200,355,249,1874,7.536363938404511,-0.23397845963683586,0.40340705248366826,0.2667885586786078,0.235220593552119,20987,0.071326668,259750,1.9619998094512192,0.45931270395141366
Gravesham,34611.0,0.0,0.0,3107.4700000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.491725835,235,244,242,143,299,32,430,283,1673,7.422971251049421,-1.1136303468933217,0.5692506683789544,0.3084042254837802,0.172534355426755,22572,0.19240460999999998,350000,2.0237764249077226,0.43420765295990593
Great Yarmouth,0.0,0.0,4643.99,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.466825737,65,82,39,21,103,236,288,194,963,6.871091294610546,-2.561531311820113,0.021799995023892536,0.26002883979892233,0.244096853658048,15091,0.09772365,219500,1.9446275425441155,0.3251020466177443
Greenwich and Woolwich,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.402312355,176,141,240,418,259,83,38,132,1311,7.179307969504034,-0.41798229455039215,-2.1201255930665615,0.2948812435094294,0.0800726943820977,52810,0.411897495,500000,1.9515580850892065,0.46410161513775455
Guildford,110600.0,0.0,0.0,0.0,0.0,1552.86,0.0,0.0,0.0,0.0,0.469076826,512,513,523,465,503,419,289,393,3105,8.041091003708633,3.2166012805452247,0.6197744481673421,0.33915833139489704,0.16432115995968,39097,0.220611506,510000,2.0243403338718364,0.41288603577517474
Hackney North and Stoke Newington,18000.0,0.0,25090.0,0.0,0.0,1144.0,0.0,0.0,0.0,0.0,0.268465958,86,76,167,326,166,123,8,79,945,6.852242569051878,-1.2802035798622522,-2.2941449460585077,0.3413295838406004,0.0865669850306075,43925,0.35975464900000004,575000,1.9683666530667754,0.4632807217280291
Hackney South and Shoreditch,0.0,0.0,0.0,0.0,0.0,882.62,0.0,0.0,0.0,0.0,0.34427919,52,47,145,414,136,31,5,48,826,6.717804695023691,-1.5408400550705523,-2.6757261000933386,0.275553107981713,0.0774394881074135,51552,0.426568344,600000,1.912392060568856,0.46410161513775455
Halifax,9800.0,0.0,1475.23,0.0,0.0,1206.0,0.0,0.0,0.0,0.0,0.384930705,72,84,90,123,139,29,517,39,1021,6.92951677076365,-2.943202254534931,-0.09393530953748436,0.309955748150052,0.172371054516075,22378,0.123204184,150000,1.9271149294292977,0.45455274756055974
Hamble Valley,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.480008206,514,519,515,462,488,396,265,439,3084,8.034306936339489,3.1777848609204606,0.7041518510149309,0.2722707024447495,0.198793499908598,29481,0.074967547,367000,2.048288730897324,0.2942467623256207
Harlow,29000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462104032,272,241,273,189,262,209,87,523,1784,7.487173694213739,0.04822775790115086,0.3162293381557388,0.3039050447220801,0.160384172931325,22421,0.16651418,330000,2.0049426536814785,0.4509108661376353
Harrogate and Knaresborough,48500.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,0.534106857,481,476,439,457,395,503,397,296,2963,7.994294986415977,2.491914953444974,0.8522473528404714,0.2565853847569771,0.225244862963931,34426,0.101627152,306000,1.9401151034375486,0.40670224016259915
Harrow East,24141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337757077,349,296,418,461,507,276,18,275,2251,7.719573989259581,2.0758341428824747,-1.4414349391333054,0.2937530651243803,0.172002096967852,39153,0.534664096,560000,2.1120928433268857,0.46317172799537215
Harrow West,9000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.353168457,331,230,344,499,481,264,31,251,2100,7.650168700845001,1.6091257737546776,-1.5792070164750667,0.31336824020289533,0.126327415528102,43673,0.537636201,517500,2.075813953488372,0.46410161513775455
Hartlepool,37500.0,0.0,0.0,694.17,0.0,0.0,0.0,0.0,0.0,0.0,0.525190063,43,25,10,104,44,80,476,515,1254,7.134890851565884,-3.0184563090207126,1.9017524830881125,0.2903335783765353,0.199635631412407,18526,0.039686978,140000,1.9342682628878571,0.4582674754705711
Harwich and North Essex,26618.5,0.0,650.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.473548479,308,319,302,257,260,336,240,309,2023,7.6128310304073565,0.45658954041078753,0.21652958689094567,0.26849383957757034,0.245873774201659,22746,0.072859964,320000,1.9769729008906034,0.21630578936435535
Hastings and Rye,57322.4,0.0,7588.42,0.0,0.0,967.3499999999999,0.0,0.0,0.0,0.0,0.395632388,67,75,57,80,123,136,77,196,744,6.61338421837956,-2.3188280453471055,-1.1183879473851503,0.2570862600241149,0.22526746923386,24851,0.107862789,300000,1.905076434343219,0.4353231772421651
Havant,125407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.448586916,189,200,171,71,203,139,353,289,1426,7.2633296174768365,-1.5851037296516166,0.5344258866302454,0.2627006748543397,0.241428092383786,20890,0.065550763,312250,1.9840975442211919,0.39564551882027954
Hayes and Harlington,77569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325142599,171,152,250,220,319,78,30,189,1238,7.122059881629142,-0.6475097654863721,-1.707263187487468,0.3430674979334204,0.101366645807742,31283,0.484027742,425000,2.1042553705627913,0.46410161513775455
Hazel Grove,122239.9,0.0,974.69,1444.78,0.0,863.69,0.0,0.0,0.0,0.0,0.510015881,268,284,213,276,158,183,468,313,1895,7.547501682814967,-0.7875754856100551,1.0486045869640612,0.2612313335079899,0.234613570867173,25935,0.053914461000000004,275000,1.975030432877246,0.3501846501804361
Hemel Hempstead,21519.0,0.0,0.0,0.0,0.0,578.26,0.0,0.0,0.0,0.0,0.451368384,344,318,327,233,393,214,215,492,2192,7.693025748417888,0.784817298957433,0.6631295564910755,0.29404301943371136,0.159477538780923,27066,0.167354695,400000,2.0059174991635196,0.4498351787484024
Hendon,32500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.366666412,266,210,317,445,492,199,19,140,1822,7.508238774678663,1.093583965744441,-2.153440951642423,0.3219810009795651,0.117016348877296,47393,0.496386036,535000,2.023961661341853,0.46410161513775455
Hereford and South Herefordshire,35000.0,0.0,4860.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537142028,274,317,288,192,316,418,207,97,1835,7.515344571180436,0.41039938973215234,-0.6872474376462007,0.2551947985250153,0.235627638485162,24727,0.10330803499999999,262500,1.9506116350733027,0.38130339710727623
Hertford and Stortford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477998846,524,498,502,492,526,387,389,500,3294,8.100161446936607,3.1735495437120536,1.4140320603076555,0.2808499911303648,0.173807500910304,34098,0.127419779,445000,1.999846209516917,0.38038879336247133
Hertsmere,22000.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426851607,406,389,406,399,452,267,111,448,2472,7.813187267521416,2.0504149368113014,-0.09895518234310148,0.2911790458795052,0.188423262689124,33329,0.222647132,535000,2.0223938960419647,0.3819699994601855
Hexham,20250.0,0.0,0.0,0.0,0.0,1660.0,0.0,0.0,0.0,0.0,0.555821051,393,404,354,425,322,477,148,341,2471,7.812782818577581,1.9777072543401621,-0.030276612698481416,0.2330484632942293,0.276702585062901,30411,0.042781636,270000,1.974911001864723,0.21024278163338075
Heywood and Middleton North,14000.0,0.0,750.04,0.0,0.0,850.83,0.0,0.0,0.0,0.0,0.52274134,61,72,55,94,54,17,392,321,1005,6.913737350659685,-3.004498644718717,0.6537311523262066,0.3114008310849395,0.176802489316028,20795,0.12602201600000001,190000,1.9699151119850367,0.4543256925583082
High Peak,16750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485236708,361,342,280,314,254,472,440,272,2374,7.772752716468742,0.6624822001619862,1.072455430518214,0.2490862593157645,0.22284296831268,26922,0.041614722,254000,1.9555490152797192,0.2925398422045718
Holborn and St Pancras,6000.0,0.0,1674.0,0.0,0.0,72705.8,0.0,0.0,0.0,0.0,0.306288377,180,125,202,413,325,106,220,36,1427,7.2640301428995295,-0.6468873594503922,-1.758057820648497,0.366238709158648,0.101968247161096,46498,0.448321545,670000,1.8395445453146637,0.46410161513775455
Horsham,5000.0,0.0,0.0,7186.5,0.0,0.0,0.0,0.0,0.0,0.0,0.479529462,491,518,499,490,475,464,124,342,2912,7.976938756959434,3.380202324352647,-0.2562565963421845,0.2727643278290699,0.200504294083075,31439,0.116039543,422500,2.0099153010495305,0.3465889025914678
Houghton and Sunderland South,32450.0,0.0,500.0,0.0,0.0,2827.1,0.0,0.0,0.0,0.0,0.548078455,82,62,26,81,50,144,496,533,1392,7.239214973779806,-2.75024561414662,2.2090595220469975,0.2678351510852318,0.211292722095784,19041,0.02683023,142000,1.956379114389499,0.3733625449056904
Huntingdon,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.476890601,436,455,450,337,432,412,135,373,2594,7.861341795599989,2.4027685406076555,0.0212430802052227,0.2636733954919887,0.204462750067891,31060,0.143779332,315000,2.0067829287529575,0.3546400132124799
Hyndburn,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.501169889,63,92,67,118,25,115,533,26,976,6.884486652042782,-3.161979226607746,0.13343280300238294,0.303853396311764,0.183128372905248,19142,0.090514548,135000,1.9393225627862496,0.3260709476192441
Ilford North,118134.0,0.0,8200.0,0.0,0.0,3695.36,0.0,0.0,0.0,0.0,0.291942517,332,260,361,440,459,163,85,207,1975,7.588829878307813,1.176987139240084,-1.5609218939282832,0.3255837191486524,0.132273590247476,39412,0.446147866,490000,2.096983056929741,0.46410161513775455
Ilford South,0.0,0.0,400.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.259057167,224,145,282,371,402,116,41,156,1513,7.322510433997394,0.12076683346217011,-2.0046028786549965,0.3723972602739718,0.0975342465753424,36955,0.49990247499999996,440000,2.108793271757903,0.46410161513775455
Ipswich,56727.3,0.0,0.0,0.0,0.0,880.0,0.0,0.0,0.0,0.0,0.421799338,147,179,169,83,143,119,316,150,1159,7.05617528410041,-1.9550153158156947,-0.24663421809823052,0.3030748242207988,0.163081120789169,25182,0.191610636,234000,1.9307505169687385,0.46410161513775455
Isle of Wight East,5000.0,0.0,0.0,1942.7600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.487289231,174,154,98,133,220,282,393,178,1458,7.285506548522785,-1.5442211757807076,0.31027542056856877,0.2118344216552075,0.317061243275896,15724,0.061382914999999996,256000,1.8888005583032434,0.2597164730340545
Isle of Wight West,0.0,0.0,0.0,0.0,0.0,651.0,0.0,0.0,0.0,0.0,0.466979134,218,224,168,200,234,365,304,90,1585,7.368970402194793,-0.6962433086347223,-0.3832836322266395,0.23411629342762452,0.276589773811528,17059,0.06122857600000001,255000,1.9402118231245482,0.2597164730340545
Islington North,88631.29000000001,0.0,0.0,0.0,0.0,75132.04,0.0,0.0,0.0,0.0,0.337084688,120,79,144,449,169,39,80,76,1036,6.9440872082295275,-1.290758366488565,-2.2526880272385967,0.27295186194368704,0.0939146230699364,53072,0.381443123,610000,1.9099404527252732,0.46410161513775455
Islington South and Finsbury,0.0,0.0,1850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355298562,141,116,205,406,183,92,61,37,1100,7.00397413672268,-0.9602051052961169,-2.3672647585097577,0.295086908469807,0.0930958839880772,55728,0.41618122700000004,700000,1.8855221942088776,0.46410161513775455
Kenilworth and Southam,16000.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.534003075,492,522,525,518,451,455,109,248,2828,7.947678571301568,3.3693203649021517,-0.7592915457446598,0.2689107963644678,0.23467689939893,33963,0.08759513199999999,360000,2.0173738604911,0.25080558638619893
Kettering,11500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473273056,286,282,262,201,243,258,307,376,1929,7.5652752818989315,-0.16696457339155737,0.7439124156542597,0.286535774425853,0.184111998853498,25147,0.139139544,255000,2.007884823554882,0.376310523059914
Kingston and Surbiton,72750.0,0.0,0.0,0.0,0.0,3882.0,0.0,0.0,0.0,0.0,0.425584405,433,403,469,497,473,341,130,180,2493,7.821643126239982,2.4795909149637754,-1.2069420794982373,0.3045806429216133,0.140222523085468,46175,0.320780442,505000,2.0039691579777448,0.4635628065936783
